Date,"Korea, South",Germany,United Kingdom,US,France,China
2020-02-24,487.9149141926091,0.047741845328786274,0.20622805484917947,0.05438022911786287,0.07660075156674198,0.00555816567015426
2020-02-25,539.8174361460982,0.13129007465416226,0.20622805484917947,0.06646472447738795,0.09192090188009039,0.00555816567015426
2020-02-26,586.7852200108116,0.13129007465416226,0.2209586301955494,0.06646472447738795,0.09192090188009039,0.00555816567015426
2020-02-27,642.296147286133,0.13129007465416226,0.23568920554191938,0.06646472447738795,0.09192090188009039,0.00555816567015426
2020-02-28,708.593280739688,0.13129007465416226,0.23568920554191938,0.06646472447738795,0.10724105219343877,0.00555816567015426
2020-02-29,766.9324175915806,0.14322553598635882,0.23568920554191938,0.0815703436767943,0.10724105219343877,0.00555816567015426
2020-03-01,822.3653252923759,0.14322553598635882,0.23568920554191938,0.0906337151964381,0.10724105219343877,0.00555816567015426
2020-03-02,874.8724989484424,0.14322553598635882,0.23568920554191938,0.0906337151964381,0.10724105219343877,0.00555816567015426
2020-03-03,925.5072028158825,0.14322553598635882,0.23568920554191938,0.0906337151964381,0.10724105219343877,0.00555816567015426
2020-03-04,975.2641864699038,0.14322553598635882,0.23568920554191938,0.12386607743513209,0.10724105219343877,0.00555816567015426
2020-03-05,1019.9498977797286,0.14322553598635882,0.23568920554191938,0.12386607743513209,0.10724105219343877,0.00555816567015426
2020-03-06,1052.1719820590088,0.14322553598635882,0.25041978088828937,0.4078517183839715,0.10724105219343877,0.00555816567015426
2020-03-07,1083.2822874012918,0.14322553598635882,0.26515035623465927,0.4078517183839715,0.10724105219343877,0.012505872757847085
2020-03-08,1119.3468357259824,0.14322553598635882,0.26515035623465927,0.3564926131059899,0.10724105219343877,0.012505872757847085
2020-03-09,1146.9657651082225,0.14322553598635882,0.26515035623465927,0.3564926131059899,0.10724105219343877,0.012505872757847085
2020-03-10,1173.824003638833,0.14322553598635882,0.26515035623465927,0.7462175884506738,0.12256120250678718,0.013200643466616367
2020-03-11,1202.3596630217548,0.14322553598635882,0.368264383659249,0.8700836658858059,0.12256120250678718,0.013200643466616367
2020-03-12,1226.8773143165822,0.14322553598635882,0.368264383659249,1.006034238680463,0.18384180376018078,0.013200643466616367
2020-03-13,1252.1361515694077,0.14322553598635882,0.6776064659330182,1.5407731583394477,0.18384180376018078,0.013200643466616367
2020-03-14,1280.691315845961,0.14322553598635882,0.6776064659330182,1.5407731583394477,0.18384180376018078,0.013200643466616367
2020-03-15,1307.159456503941,0.14322553598635882,0.6776064659330182,1.5407731583394477,0.18384180376018078,0.013200643466616367
2020-03-16,1324.5773265168932,0.14322553598635882,0.9869485482067873,3.4350178059450043,0.26044255532692273,0.014590184884154932
2020-03-17,1341.8976720616877,0.14322553598635882,0.9869485482067873,4.250721242712947,0.26044255532692273,0.03682284756477198
2020-03-18,1360.5638552670578,0.14322553598635882,1.546710411368846,4.652530713417156,1.6086157829015817,0.04654963748754193
2020-03-19,1375.7776722996475,0.14322553598635882,1.6645550141398056,4.652530713417156,1.853738187915156,0.04654963748754193
2020-03-20,1390.0357495442925,0.14322553598635882,2.6515035623465932,4.652530713417156,2.252062096062214,0.04654963748754193
2020-03-21,1401.563141680524,0.14322553598635882,3.432224055704201,4.652530713417156,2.696346455149318,0.04654963748754193
2020-03-22,1411.4131129644445,26.329627698825632,3.9183330421344094,8.788449250214615,2.7269867557760143,0.04654963748754193
2020-03-23,1420.229324885894,26.329627698825632,3.9183330421344094,8.788449250214615,2.7269867557760143,0.04654963748754193
2020-03-24,1429.3186053181848,38.79024932963885,47.77125584827778,10.595081306463614,5.331412309045242,0.09726789922769956
2020-03-25,1438.9345178785268,46.631847424891994,52.24935075357425,11.268791922757138,5.530574263118772,0.09726789922769956
2020-03-26,1446.8925144801892,59.140210901033996,83.56655393995679,12.519537192467984,10.433022363390258,0.10421560631539237
2020-03-27,1457.4056521475816,68.11567782284583,98.07617065613121,13.67964874698239,13.313210622299756,0.10491037702416166
2020-03-28,1464.8175117275612,68.31858066549316,124.93000951256366,14.534626793668792,16.42320113590948,0.10491037702416166
2020-03-29,1474.2188704579564,86.2456435864524,135.6833295154137,15.205316286122434,40.828200585073475,0.10491037702416166
2020-03-30,1480.8700391863065,95.05401404961347,198.8627671759945,15.79443543489928,86.46692836853835,0.11880579119954732
2020-03-31,1486.3899240840283,113.54204365318596,237.16226307655637,16.33823772607791,107.60873580095914,0.12436395686970157
2020-04-01,1490.2713979167017,131.92265410476867,275.4617589771183,16.81859641661903,129.8229537553143,0.12436395686970157
2020-04-02,1493.392180897746,149.76616879640255,330.55411077254195,17.607109738828044,137.89667297044892,0.13339597608370224
