Date,"Korea, South",Germany,United Kingdom,US,France
2020-03-21,10.981255114548826,1.0025787519045117,1.502518685329736,1.3776324709858594,3.845357728650447
2020-03-22,13.185308094911203,1.1219333652264774,1.6350938634470658,1.8126743039287623,4.381562989617641
2020-03-23,16.813218310374936,1.4680617438601777,1.6350938634470658,2.368561090466916,5.515254112805422
2020-03-24,21.494392781941045,1.8738674291548612,1.7676690415643952,3.078525192839014,7.797956509494335
2020-03-25,26.00002321082342,2.458705034432493,1.856052493642615,4.015073583202208,10.647504467777136
2020-03-26,33.11930938633021,3.186768175696484,1.9297053703744649,5.244670986033885,13.466412125433239
2020-03-27,38.951272582156314,4.081927775611226,2.0475499731454248,6.900246850288821,17.817334814424182
2020-03-28,45.19283854424446,5.168054756841114,2.121202849877274,8.82470273629319,22.32145900654861
2020-03-29,50.92727727191294,6.361600890060771,2.2390474526482342,10.712905136218984,25.61529132391852
2020-03-30,59.09982770352211,7.698372559266786,2.327430904726454,13.14793095116329,31.345027541110817
2020-03-31,68.89128430654789,9.249982532452341,2.386353206111934,16.821617540458913,37.21264511112326
2020-04-01,86.09460048955333,10.980624425620842,2.4305449321510437,20.50436750127418,47.49246597138003
2020-04-02,105.28741582297437,13.2125556947416,2.4894672335365233,25.223362939168723,57.48120397568318
2020-04-03,127.17190647754592,15.217713198550623,2.5631201102683736,29.141760559494735,68.43511144972729
2020-04-04,147.73006436517375,17.234806163691843,2.6073118363074834,32.96650334078442,80.09374583818543
2020-04-05,157.85310415993547,18.905770750199363,2.695695288385703,37.22930907885689,89.99056294060848
2020-04-06,174.10068055499616,21.60318501127579,2.739887014424813,42.250416900739566,98.73836876953041
2020-04-07,201.7391148308677,24.061890045708278,2.8282704665030325,49.214107351665895,114.64068479478605
2020-04-08,212.34977696641755,28.03639866932974,2.946115069273992,55.49502381477906,130.51236051941498
2020-04-09,238.50583932629317,31.115747693036454,3.005037370659472,61.67624319117614,147.42580646535163
2020-04-10,257.7571693406088,33.025421506187904,3.0639596720449522,67.93299066357025,165.08993977664232
2020-04-11,270.16228169025896,32.65542220488981,3.108151398084062,74.01149182941137,177.95886603985497
2020-04-12,281.10452701754474,36.06896414589803,3.152343124123172,79.26824731080477,188.46848915481198
2020-04-13,292.3003359620404,38.12186349503584,3.1965348501622817,84.7002279749113,199.88200113825653
2020-04-14,306.8314817175268,39.315409628255495,3.2701877268941315,91.92977732374717,215.93751866664567
2020-04-15,334.8795187596604,45.402494907675745,3.3143794529332413,99.52790378104858,228.89836583173837
2020-04-16,349.56670366419905,48.36248931806049,3.3733017543187214,105.83298923488077,244.72408110542727
2020-04-17,364.40992771778997,51.94312771771946,3.388032329665091,113.65769998017328,259.06374179872137
2020-04-18,376.9320694292293,53.2202220802645,3.417493480357831,120.74223538469485,276.1916698490449
2020-04-19,384.63650241368185,54.73602566945346,3.4469546310505708,124.31320376343452,283.8364248554057
2020-04-20,395.3056792301262,58.030212997139714,3.4764157817433112,129.66059296002436,292.4923097824476
2020-04-21,405.6627777484663,60.071176884945324,3.4911463570896806,136.89920568037988,310.4475259496919
2020-04-22,416.27343988401606,63.00730037266568,3.505876932436051,143.95352984650265,323.423693265098
2020-04-23,426.33796499788326,66.54019692699586,3.5353380831287904,150.9625371550272,334.592082843529
2020-04-24,433.94487351417814,68.74825727345223,3.5353380831287904,156.3310742184962,350.1113951109509
2020-04-25,441.14217926421105,70.14470624931924,3.564799233821531,163.18600421118683,363.04160197541694
2020-04-26,445.86236352304024,71.32631692120668,3.5795298091679006,166.65123325553063,369.47606510702326
2020-04-27,454.3860020400168,73.11663612103617,3.5942603845142704,170.69953920097154,374.7002363638751
2020-04-28,461.54429800278666,75.36050285148913,3.6237215352070105,177.13453297991865,388.6568932993355
2020-04-29,469.872887583448,77.18662843531521,3.6384521105533802,185.04987744040756,400.86705309907416
2020-04-30,475.5098018429589,79.04856040313787,3.6531826858997505,191.20994894992546,411.2234747108977
2020-05-01,479.7618686546314,80.39726753367609,3.68264383659249,197.10718268537372,422.5757060930888
2020-05-02,482.9996809974647,81.30436259492302,3.68264383659249,201.41228415720454,432.10483958799153
2020-05-03,485.67185142498363,81.94887750686165,3.71210498728523,205.40620987352756,436.93068693669625
2020-05-04,491.60133908896734,83.4646810960506,3.74156613797797,209.17355130185953,441.35821037725395
2020-05-05,498.0964686682654,83.4646810960506,3.75629671332434,215.66896755760425,451.959754394091
2020-05-06,503.4603144169348,86.83048119173004,3.77102728867071,222.88341128724073,461.9025319474542
2020-05-07,506.9321854833464,88.22693016759703,3.77102728867071,229.5631160972182,470.16009296634894
2020-05-08,511.67187463580706,89.63531460479622,3.77102728867071,234.12199197159904,479.76582721281835
2020-05-09,513.232266126329,90.10079759675189,3.77102728867071,239.03736045908585,485.0665992212369
2020-05-10,514.5976086805359,90.33950682339582,3.77102728867071,241.2548653575587,489.17239950521434
2020-05-11,519.7273957056271,91.43756926595792,3.80048843936345,244.76541125950078,492.40495122133075
2020-05-12,526.5150986893979,92.35659978853704,3.8152190147098195,249.87413167274002,502.02600561811363
2020-05-13,528.1340048608146,93.82466153239723,3.8299495900561897,255.139950525653,509.6094800232211
2020-05-14,534.9802225254799,94.09917714303774,3.8299495900561897,260.50848758912207,516.1818245076474
2020-05-15,537.0087314631587,94.2543381403563,3.8594107407489298,265.4419828196482,522.0800823782866
2020-05-16,537.0087314631587,94.74369205497635,3.8594107407489298,269.13379615198306,529.2499127249337
2020-05-17,548.3020648758119,95.03014312694907,3.8741413160953,271.57788533844706,531.8543382782029
2020-05-18,550.8572059415417,95.51949704156914,3.8741413160953,273.96457317195325,534.3055623283386
2020-05-19,546.6246440235007,96.45046302548046,3.8741413160953,278.70471647672696,542.6703643994268
2020-05-20,548.7701823229685,97.20239708940885,3.8888718914416702,283.3058880848661,548.2468991134857
2020-05-21,550.3890884943851,97.90658930800845,3.8888718914416702,287.0671872655183,553.4251099193974
2020-05-22,551.832450623118,98.20497584131337,3.9183330421344094,290.9221412852068,558.8024826793827
2020-05-23,552.6711610492736,98.59884606527584,3.9183330421344094,294.275588747475,563.122765067747
2020-05-24,553.3538323263768,98.86142621458417,3.9330636174807796,296.1879601381198,564.9305428047221
2020-05-25,555.1092727532142,99.17174820922128,3.9625247681735196,297.70456430574023,566.7842809926373
2020-05-26,556.5331299883156,99.92368227314967,3.9625247681735196,299.81330874597734,568.8371811346259
2020-05-27,557.8204529679962,100.59206810775268,3.9625247681735196,304.36010012499867,575.1490830637255
2020-05-28,559.1077759476769,101.09335748370492,3.9625247681735196,307.96430086597707,580.9247797318578
2020-05-29,560.1220304165163,101.49916316899962,3.9625247681735196,311.5171425016774,585.8885084333828
2020-05-30,561.2338093535132,101.80948516363672,3.97725534351989,314.3600200350057,589.1823407507527
2020-05-31,561.8384610560905,101.9288397769587,3.9919859188662596,316.18779995813384,590.913517736161
2020-06-01,562.4431127586678,102.10787169694164,4.00671649421263,318.5170864386823,599.4315213103827
2020-06-02,564.530136377241,102.20335538759922,4.021447069558999,321.6318651175999,604.4105701622209
2020-06-03,566.1100327613946,102.66883837955488,4.021447069558999,324.6016298522032,609.9105041247129
2020-06-04,566.9682480811817,103.06270860351738,4.021447069558999,327.72849302648035,612.6068505798623
2020-06-05,567.8654731882318,103.33722421415789,4.021447069558999,330.65898315116516,618.0761442417277
2020-06-06,568.4701248908091,103.51625613414083,4.021447069558999,332.698241743085,621.2014549056507
2020-06-07,568.723688508019,103.65948167012719,4.021447069558999,334.06076859487143,622.3811064797786
2020-06-08,569.7769527641215,103.77883628344915,4.0361776449053695,335.5501826479329,623.2237147470128
2020-06-09,571.4738785100641,104.26819019806922,4.065638795598109,338.4081658004606,627.635918037257
2020-06-10,571.9224910635892,104.45915757938437,4.065638795598109,341.19062085699125,631.3893548640275
2020-06-11,572.4491231916403,104.6978668060283,4.08036937094448,343.87337882680583,633.7026975613431
2020-06-12,572.995260213323,104.82915688068246,4.08036937094448,346.4292495953454,636.7973679246395
2020-06-13,573.4633776604796,104.94851149400442,4.08036937094448,348.74645158053437,639.5703151313555
2020-06-14,573.6389217031634,105.043995184662,4.08036937094448,349.6407042371392,640.121840542636
2020-06-15,574.2045636184777,105.11560795265518,4.0950999462908495,350.8340481538923,640.7040062545433
