Date,"Korea, South",Germany,United Kingdom,US,France
2020-03-25,76.20561941836993,42.33508134530123,54.945046041959955,1.0906257061971385,2.1448210438687756
2020-03-26,96.6467479442086,67.70987213755113,61.04350423535711,2.057385334959145,2.2980225470022595
2020-03-27,111.31442795511573,79.46630154976475,66.70004516836319,2.625356616856824,2.313342697315608
2020-03-28,111.64601114685166,101.2246475583591,70.86879799138589,3.2386447563527216,2.313342697315608
2020-03-29,140.9423613814029,109.93753433086259,74.13898571828001,8.051295033283585,2.313342697315608
2020-03-30,155.33697288146868,161.12872798465366,77.01144791082216,17.05122295228989,2.6197457035825757
2020-03-31,185.55005311670158,192.16092744836476,79.66295147316875,21.22037385132604,2.7423069060893632
2020-04-01,215.58758930925077,223.19312691207583,82.00511295324158,25.601003419153884,2.7423069060893632
2020-04-02,244.74740528838132,267.83175229449097,85.84979311864413,27.193135682771317,2.9414688601628924
2020-04-03,275.7016714816122,293.31396223873065,88.69279416049353,29.32604911372749,3.186591265176466
2020-04-04,303.73020363011426,315.0961791699894,93.17088906579,44.26550650194037,3.293832317369905
2020-04-05,318.88550598180956,342.5477402340415,95.20370846358905,52.7125687582484,3.5083144217567828
2020-04-06,339.9312862102255,342.5477402340415,97.19233613534901,59.15662590871515,4.39688313993099
2020-04-07,380.7940383682713,430.6433803269844,98.60647136860052,65.74871812733609,4.979048851838228
2020-04-08,418.4189781834839,552.6118596807012,99.81437854700286,71.17465654376285,5.285451858105197
2020-04-09,456.6680745949053,625.5017220364256,102.71630189023774,76.76675677138309,5.499933962492074
2020-04-10,491.42579504628367,643.4765268027136,104.83750474011502,86.97815535018177,9.008248384248857
2020-04-11,520.058978897363,685.095480468083,106.69355723375763,94.47054247308732,9.529133494902704
2020-04-12,535.7799231643726,719.7083183314531,108.53487915205388,99.66083323000335,9.590414096156096
2020-04-13,546.156526576344,767.4501636602394,109.6985946044171,131.3645068057174,4.657325695257912
2020-04-14,561.8384610560905,813.9984628558059,110.98015465955129,144.29793796424912,4.948408551211532
2020-04-15,603.7739823638702,866.5144927174708,112.18806183795363,157.38846756245465,5.63781531531221
2020-04-16,639.9945698376131,919.0305225791357,114.26507296179179,165.26453741302515,5.745056367505648
2020-04-17,671.3584387971059,992.0039331641857,115.32567438673043,176.87169520584897,6.036139223459268
2020-04-18,701.8445875431802,1019.2883977695869,116.91657652413838,195.8896697779016,6.342542229726236
2020-04-19,713.4499992539379,1050.320597233298,118.46328693550723,212.4967875257289,6.679585536619901
2020-04-20,729.6585658617355,1092.094711895986,119.52388836044587,218.5148662147724,6.832787039753385
2020-04-21,764.2212373767986,1136.2559188251132,120.98221531973648,227.20059725443105,9.774255899916277
2020-04-22,793.01046037693,1186.3848564203388,121.92497214190418,233.73226699625434,10.463662664016955
2020-04-23,820.921963163643,1232.9331556159054,125.22462101949104,242.30319532999752,10.907947023104057
2020-04-24,848.3263387159363,1310.5136542751832,127.19851811590462,299.3299289315964,11.091788826864239
