Date,France,Germany,"Korea, South",US,United Kingdom
2020-03-16,10.485110874455643,8.779725355963794,18.428223503065244,1.3525571431148447,2.4128682417353997
2020-03-17,12.066150386793197,11.157269253337352,19.13039967380016,1.9008911200532954,3.086055535064507
2020-03-18,14.224759565943987,14.871584819916924,19.577061737962094,2.78245505653065,4.161387535349514
2020-03-19,17.19840074176491,18.47251350384063,19.887189546703347,4.393620400339332,4.333735266902043
2020-03-20,20.254770729277915,23.984309547049005,20.062733589387076,6.039830780690635,6.298794018107795
2020-03-21,23.03844204121332,26.890594381438866,20.36505944067572,7.99087255648596,7.932414824020225
2020-03-22,29.299787474278812,30.1167495795316,23.36881305993064,10.43314906864598,8.982704846216404
2020-03-23,35.528960591686264,35.143965892652794,23.36881305993064,13.536749589356008,10.536780545258432
2020-03-24,41.324573455225966,43.42836960333043,24.700997294963823,16.759684501741347,12.982056052755848
2020-03-25,47.24734356636645,49.02610096813062,25.342708295441014,20.463280217051796,15.430277675322534
2020-03-26,55.465072194446535,59.531694032730044,26.362814232369793,26.131814877821025,18.91553180227367
2020-03-27,62.97500987804992,69.07170827555476,27.304900594772473,31.844760059036506,23.65583094873552
2020-03-28,70.69636563597751,79.50091438762811,28.151412978380677,38.08035966455145,27.870248555331965
2020-03-29,77.43569975881947,85.74316066436693,28.80482691503678,44.53287596176987,31.822461920763025
2020-03-30,86.04409221988993,96.7130431747888,29.34901344735634,52.17057914137371,36.3403293794947
2020-03-31,100.91689414408854,105.84725173231881,29.951714660570474,60.81310811012205,41.37671309041858
2020-04-01,112.16801253421161,116.36119961985078,30.4646933630796,69.32119706799568,48.8230189280086
2020-04-02,119.30567056520063,129.30998161915082,31.155166597635596,79.13622419900196,56.14853404775839
2020-04-03,131.53421454531534,139.65563950189883,31.709105576770924,89.39142907347893,63.8776669319987
2020-04-04,141.93506459304754,147.9233335667114,32.49125181139509,101.28710419301143,70.58891705980486
2020-04-05,146.8497688135697,155.6467705947758,32.930111918104416,110.97917158373453,80.33908488156713
2020-04-06,155.8013326416592,159.79673049998055,33.290952450287634,121.07939280522561,86.92659817646378
2020-04-07,167.0340668514062,173.97128437809718,33.58157536539736,131.73459447610284,93.91772923585096
2020-04-08,176.78840655591515,193.2888285442573,33.86049534432818,142.48042986217652,103.61192087129703
2020-04-09,188.44857295940463,206.71622254297847,34.32861279148479,154.15797984046964,111.7373062323547
2020-04-10,199.38869229816672,213.46691947246882,34.669948430036484,165.92586142157515,126.63728319520793
2020-04-11,207.39959889701657,220.85855067549815,34.980076238777734,176.35085345585344,135.68627563048298
2020-04-12,250.62693502116042,228.17737556440113,35.292154536882144,186.0235856540013,144.557028104067
2020-04-13,257.96222299119165,235.80413535567473,35.500856898739464,197.37847960619504,151.60855452237428
2020-04-14,267.95096099549477,242.11441376200705,35.73296513295462,207.56238595805084,160.9506854070421
2020-04-15,278.3809193288224,252.02562085226307,35.951419941627705,218.43148319679165,169.09522051605006
2020-04-16,301.51434630197843,261.08821664179993,36.27715166527418,229.30511212129232,177.49459457855022
